record_no,datetime,radon_bq_m3
564,2024-06-09 15:44:00,39
565,2024-06-09 16:44:00,19
566,2024-06-09 17:44:00,30
567,2024-06-09 18:44:00,26
568,2024-06-09 19:44:00,25
569,2024-06-09 20:44:00,32
570,2024-06-09 21:44:00,18
571,2024-06-09 22:44:00,11
572,2024-06-09 23:44:00,18
573,2024-06-10 00:44:00,18
574,2024-06-10 01:44:00,7
575,2024-06-10 02:44:00,18
576,2024-06-10 03:44:00,16
577,2024-06-10 04:44:00,18
578,2024-06-10 05:44:00,19
579,2024-06-10 06:44:00,16
580,2024-06-10 07:44:00,30
581,2024-06-10 08:44:00,37
582,2024-06-10 09:44:00,41
583,2024-06-10 10:44:00,73
584,2024-06-10 11:44:00,49
585,2024-06-10 12:44:00,69
586,2024-06-10 13:44:00,49
587,2024-06-10 14:44:00,51
588,2024-06-10 15:44:00,76
589,2024-06-10 16:44:00,76
590,2024-06-10 17:44:00,85
591,2024-06-10 18:44:00,81
592,2024-06-10 19:44:00,74
593,2024-06-10 20:44:00,78
594,2024-06-10 21:44:00,76
595,2024-06-10 22:44:00,87
596,2024-06-10 23:44:00,101
597,2024-06-11 00:44:00,87
598,2024-06-11 01:44:00,98
599,2024-06-11 02:44:00,85
600,2024-06-11 03:44:00,112
601,2024-06-11 04:44:00,137
602,2024-06-11 05:44:00,108
603,2024-06-11 06:44:00,110
604,2024-06-11 07:44:00,126
605,2024-06-11 08:44:00,114
606,2024-06-11 09:44:00,143
607,2024-06-11 10:44:00,125
608,2024-06-11 11:44:00,139
609,2024-06-11 12:44:00,143
610,2024-06-11 13:44:00,114
611,2024-06-11 14:44:00,132
612,2024-06-11 15:44:00,152
613,2024-06-11 16:44:00,137
614,2024-06-11 17:44:00,150
615,2024-06-11 18:44:00,159
616,2024-06-11 19:44:00,143
617,2024-06-11 20:44:00,181
618,2024-06-11 21:44:00,154
619,2024-06-11 22:44:00,203
620,2024-06-11 23:44:00,221
621,2024-06-12 00:44:00,201
622,2024-06-12 01:44:00,208
623,2024-06-12 02:44:00,223
624,2024-06-12 03:44:00,214
625,2024-06-12 04:44:00,212
626,2024-06-12 05:44:00,199
627,2024-06-12 06:44:00,210
628,2024-06-12 07:44:00,164
629,2024-06-12 08:44:00,181
630,2024-06-12 09:44:00,255
631,2024-06-12 10:44:00,219
632,2024-06-12 11:44:00,196
633,2024-06-12 12:44:00,234
634,2024-06-12 13:44:00,190
635,2024-06-12 14:44:00,199
636,2024-06-12 15:44:00,137
637,2024-06-12 16:44:00,205
638,2024-06-12 17:44:00,168
639,2024-06-12 18:44:00,183
640,2024-06-12 19:44:00,185
641,2024-06-12 20:44:00,227
642,2024-06-12 21:44:00,221
643,2024-06-12 22:44:00,236
644,2024-06-12 23:44:00,242
645,2024-06-13 00:44:00,219
646,2024-06-13 01:44:00,251
647,2024-06-13 02:44:00,277
648,2024-06-13 03:44:00,214
649,2024-06-13 04:44:00,208
650,2024-06-13 05:44:00,240
651,2024-06-13 06:44:00,234
652,2024-06-13 07:44:00,240
653,2024-06-13 08:44:00,221
654,2024-06-13 09:44:00,258
655,2024-06-13 10:44:00,225
656,2024-06-13 11:44:00,221
657,2024-06-13 12:44:00,190
658,2024-06-13 13:44:00,225
659,2024-06-13 14:44:00,185
660,2024-06-13 15:44:00,212
661,2024-06-13 16:44:00,203
662,2024-06-13 17:44:00,194
663,2024-06-13 18:44:00,197
664,2024-06-13 19:44:00,228
665,2024-06-13 20:44:00,190
666,2024-06-13 21:44:00,223
667,2024-06-13 22:44:00,143
668,2024-06-13 23:44:00,35
669,2024-06-14 00:44:00,30
670,2024-06-14 01:44:00,11
671,2024-06-14 02:44:00,7
672,2024-06-14 03:44:00,2
673,2024-06-14 04:44:00,19
674,2024-06-14 05:44:00,11
675,2024-06-14 06:44:00,19
676,2024-06-14 07:44:00,18
677,2024-06-14 08:44:00,11
678,2024-06-14 09:44:00,14
679,2024-06-14 10:44:00,18
680,2024-06-14 11:44:00,25
681,2024-06-14 12:44:00,11
682,2024-06-14 13:44:00,9
683,2024-06-14 14:44:00,30
684,2024-06-14 15:44:00,28
685,2024-06-14 16:44:00,26
686,2024-06-14 17:44:00,18
687,2024-06-14 18:44:00,16
